label,image_path,xmin,ymin,xmax,ymax,image_width,image_height
Jacket,924739_1609784995920278_265002110_n.jpg,20,233,335,597,640,640
Sunglasses,925252_735082183208650_582275773_n.jpg,398,54,456,82,640,640
Top,925252_735082183208650_582275773_n.jpg,400,142,529,246,640,640
Handbag,925252_735082183208650_582275773_n.jpg,451,280,537,347,640,640
Trousers,925252_735082183208650_582275773_n.jpg,388,232,508,615,640,640
Blazer,926223_335293606626589_1749375320_n.jpg,145,191,317,423,640,640
Dress,926223_335293606626589_1749375320_n.jpg,298,230,448,446,640,640
Hoodie,926526_1481228152150021_4768832_n.jpg,123,119,524,513,640,640
Sweater,926526_1481228152150021_4768832_n.jpg,122,122,513,531,640,640
Coat,926678_208504702689427_21014576_n.jpg,236,108,379,467,640,640
Handbag,926678_208504702689427_21014576_n.jpg,309,356,389,462,640,640
Trousers,926678_208504702689427_21014576_n.jpg,255,450,387,552,640,640
Footwear,926678_208504702689427_21014576_n.jpg,267,552,320,624,640,640
Footwear,926678_208504702689427_21014576_n.jpg,352,501,391,574,640,640
Coat,926678_208504702689427_21014576_n.jpg,238,99,384,474,640,640
Handbag,926678_208504702689427_21014576_n.jpg,311,376,388,467,640,640
High heels,926678_208504702689427_21014576_n.jpg,260,453,320,624,640,640
High heels,926678_208504702689427_21014576_n.jpg,300,455,392,573,640,640
Luggage and bags,926895_591057144264402_1964087153_n.jpg,527,601,556,637,640,640
Luggage and bags,926895_591057144264402_1964087153_n.jpg,618,607,640,638,640,640
Luggage and bags,926895_591057144264402_1964087153_n.jpg,490,607,511,638,640,640
Luggage and bags,926895_591057144264402_1964087153_n.jpg,474,605,493,640,640,640
Blazer,926895_591057144264402_1964087153_n.jpg,436,52,528,184,640,640
Top,926895_591057144264402_1964087153_n.jpg,547,52,624,114,640,640
Handbag,926895_591057144264402_1964087153_n.jpg,427,495,474,594,640,640
Jumpsuit,926895_591057144264402_1964087153_n.jpg,340,51,432,312,640,640
Sweater,926895_591057144264402_1964087153_n.jpg,546,364,637,479,640,640
Dress,926895_591057144264402_1964087153_n.jpg,18,39,106,191,640,640
Dress,926895_591057144264402_1964087153_n.jpg,121,51,200,207,640,640
Dress,926895_591057144264402_1964087153_n.jpg,212,42,303,198,640,640
Dress,926895_591057144264402_1964087153_n.jpg,338,368,421,522,640,640
Dress,926895_591057144264402_1964087153_n.jpg,115,368,212,525,640,640
Dress,926895_591057144264402_1964087153_n.jpg,3,367,96,525,640,640
Cardigan,926895_591057144264402_1964087153_n.jpg,444,364,533,520,640,640
Blouse,926895_591057144264402_1964087153_n.jpg,219,369,308,469,640,640
Shorts,926895_591057144264402_1964087153_n.jpg,548,112,621,180,640,640
Shorts,926895_591057144264402_1964087153_n.jpg,551,454,631,499,640,640
Trousers,926895_591057144264402_1964087153_n.jpg,222,456,319,611,640,640
Trousers,926895_591057144264402_1964087153_n.jpg,464,470,513,608,640,640
Trousers,926895_591057144264402_1964087153_n.jpg,443,181,504,284,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,8,217,35,258,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,37,273,64,317,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,137,273,162,319,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,154,273,186,320,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,242,276,266,318,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,297,277,315,318,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,462,284,500,317,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,565,277,588,319,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,590,277,605,318,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,34,598,57,639,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,95,602,112,639,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,146,595,174,640,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,178,593,198,635,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,238,602,262,635,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,293,599,318,637,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,321,596,345,637,640,640
Footwear,926895_591057144264402_1964087153_n.jpg,370,597,395,638,640,640
Brassiere,926974_826400984042241_1717205157_n.jpg,348,138,448,210,640,640
Brassiere,926974_826400984042241_1717205157_n.jpg,214,101,312,186,640,640
Footwear,926974_826400984042241_1717205157_n.jpg,141,510,192,587,640,640
Footwear,926974_826400984042241_1717205157_n.jpg,174,532,212,610,640,640
Footwear,926974_826400984042241_1717205157_n.jpg,271,545,316,618,640,640
Footwear,926974_826400984042241_1717205157_n.jpg,311,561,356,630,640,640
_Underwear,926974_826400984042241_1717205157_n.jpg,188,245,304,294,640,640
_Underwear,926974_826400984042241_1717205157_n.jpg,323,252,418,320,640,640
Coat,891510_360810540749913_253958146_n.jpg,211,75,420,401,640,640
Coat,891510_360810540749913_253958146_n.jpg,438,79,626,411,640,640
Skirt,891510_360810540749913_253958146_n.jpg,38,260,215,521,640,640
Footwear,891510_360810540749913_253958146_n.jpg,525,577,572,638,640,640
Footwear,891510_360810540749913_253958146_n.jpg,452,567,505,638,640,640
Footwear,891510_360810540749913_253958146_n.jpg,320,584,412,638,640,640
Footwear,891510_360810540749913_253958146_n.jpg,290,576,354,627,640,640
Footwear,891510_360810540749913_253958146_n.jpg,144,601,199,637,640,640
Footwear,891510_360810540749913_253958146_n.jpg,46,601,117,640,640,640
Jacket,891510_360810540749913_253958146_n.jpg,31,76,198,345,640,640
Swimwear,914717_398290943646192_1853656058_n.jpg,391,493,598,638,640,640
Swimwear,914717_398290943646192_1853656058_n.jpg,49,499,241,633,640,640
Swimwear,914717_398290943646192_1853656058_n.jpg,35,180,256,409,640,640
Swimwear,914717_398290943646192_1853656058_n.jpg,402,179,587,403,640,640
Luggage and bags,914813_725434374177084_868329506_n.jpg,57,322,332,596,640,640
Tank,914813_725434374177084_868329506_n.jpg,166,148,357,406,640,640
Tank,914813_725434374177084_868329506_n.jpg,335,189,500,429,640,640
Jeans,914813_725434374177084_868329506_n.jpg,360,406,539,638,640,640
Sweatpants,914813_725434374177084_868329506_n.jpg,226,461,418,639,640,640
Brassiere,927385_866781056682972_623286024_n.jpg,354,216,481,321,640,640
_Underwear,927385_866781056682972_623286024_n.jpg,375,393,503,459,640,640
Luggage and bags,927487_758128134201018_854731368_n.jpg,304,339,492,563,612,612
Handbag,927487_758128134201018_854731368_n.jpg,262,209,304,259,612,612
Trousers,927487_758128134201018_854731368_n.jpg,220,264,306,413,612,612
Footwear,927487_758128134201018_854731368_n.jpg,229,443,266,506,612,612
Footwear,927487_758128134201018_854731368_n.jpg,281,408,320,460,612,612
Jacket,927487_758128134201018_854731368_n.jpg,196,120,323,286,612,612
Tank,927855_518229508291698_792168550_n.jpg,414,135,533,335,640,640
Blazer,927855_518229508291698_792168550_n.jpg,77,138,216,335,640,640
Leggings,927855_518229508291698_792168550_n.jpg,418,331,525,544,640,640
Shorts,927855_518229508291698_792168550_n.jpg,89,282,202,359,640,640
Footwear,927855_518229508291698_792168550_n.jpg,150,519,185,581,640,640
Footwear,927855_518229508291698_792168550_n.jpg,111,517,145,582,640,640
Footwear,927855_518229508291698_792168550_n.jpg,429,534,464,587,640,640
Footwear,927855_518229508291698_792168550_n.jpg,481,537,514,587,640,640
Handbag,928002_593561414098885_1617818146_n.jpg,171,313,322,428,640,640
Trousers,928002_593561414098885_1617818146_n.jpg,61,303,278,637,640,640
Jacket,928002_593561414098885_1617818146_n.jpg,180,163,360,357,640,640
Tank,928050_268660063338935_1363066347_n.jpg,419,179,598,405,640,640
Tank,928050_268660063338935_1363066347_n.jpg,49,114,263,247,640,640
Headwear,928050_268660063338935_1363066347_n.jpg,459,32,566,90,640,640
Shorts,928050_268660063338935_1363066347_n.jpg,48,427,259,597,640,640
Shorts,928050_268660063338935_1363066347_n.jpg,399,380,604,505,640,640
Shirt,928248_237523813112903_1058845288_n.jpg,35,468,163,620,640,640
Shirt,928248_237523813112903_1058845288_n.jpg,228,325,410,553,640,640
Shirt,928248_237523813112903_1058845288_n.jpg,456,485,615,640,640,640
Dress,928248_237523813112903_1058845288_n.jpg,448,67,589,246,640,640
Blouse,928248_237523813112903_1058845288_n.jpg,242,76,254,77,640,640
Blouse,928248_237523813112903_1058845288_n.jpg,238,62,392,193,640,640
Blouse,928248_237523813112903_1058845288_n.jpg,64,53,173,199,640,640
Shorts,928248_237523813112903_1058845288_n.jpg,285,175,368,228,640,640
Trousers,928248_237523813112903_1058845288_n.jpg,53,145,175,342,640,640
Trousers,928248_237523813112903_1058845288_n.jpg,261,536,395,638,640,640
Trousers,928248_237523813112903_1058845288_n.jpg,52,597,149,640,640,640
Footwear,928248_237523813112903_1058845288_n.jpg,123,342,152,395,640,640
Footwear,928248_237523813112903_1058845288_n.jpg,38,332,71,388,640,640
Footwear,928248_237523813112903_1058845288_n.jpg,522,355,552,396,640,640
Footwear,928248_237523813112903_1058845288_n.jpg,552,352,580,393,640,640
Blazer,928543_243195575887288_1425562107_n.jpg,275,188,421,388,640,640
Handbag,928543_243195575887288_1425562107_n.jpg,370,288,464,395,640,640
Shorts,928543_243195575887288_1425562107_n.jpg,289,335,371,388,640,640
Footwear,928543_243195575887288_1425562107_n.jpg,310,588,345,635,640,640
Footwear,928543_243195575887288_1425562107_n.jpg,355,590,395,631,640,640
Top,928552_475213929277183_1312048877_n.jpg,207,163,451,636,640,640
Handbag,928592_1488282914757954_1210065713_n.jpg,139,456,296,570,640,640
Handbag,928592_1488282914757954_1210065713_n.jpg,342,458,496,567,640,640
Dress,928592_1488282914757954_1210065713_n.jpg,333,148,546,574,640,640
Dress,928592_1488282914757954_1210065713_n.jpg,88,136,304,572,640,640
Footwear,928829_680535752064642_1202491427_n.jpg,316,586,346,632,640,640
Footwear,928829_680535752064642_1202491427_n.jpg,345,586,375,634,640,640
Jacket,928829_680535752064642_1202491427_n.jpg,253,211,433,418,640,640
Sweater,928906_1508633996028092_1332560674_n.jpg,237,123,424,406,640,640
Trousers,928906_1508633996028092_1332560674_n.jpg,253,382,418,640,640,640
Dress,929015_1412678652306178_223595234_n.jpg,121,124,388,476,640,640
Footwear,929015_1412678652306178_223595234_n.jpg,279,530,339,627,640,640
Footwear,929015_1412678652306178_223595234_n.jpg,176,556,246,627,640,640
Sweater,929139_330010037149885_1618496076_n.jpg,218,237,404,452,640,640
Footwear,929139_330010037149885_1618496076_n.jpg,372,447,413,505,640,640
Footwear,929139_330010037149885_1618496076_n.jpg,219,450,267,514,640,640
Jacket,929139_330010037149885_1618496076_n.jpg,227,87,388,266,640,640
Handbag,929140_656193117808336_1723045134_n.jpg,85,388,165,535,640,640
Tee,929140_656193117808336_1723045134_n.jpg,110,135,252,245,640,640
Tee,929140_656193117808336_1723045134_n.jpg,334,132,629,371,640,640
Trousers,929140_656193117808336_1723045134_n.jpg,132,233,267,568,640,640
Trousers,929140_656193117808336_1723045134_n.jpg,358,338,625,627,640,640
Footwear,929140_656193117808336_1723045134_n.jpg,191,554,241,601,640,640
Footwear,929140_656193117808336_1723045134_n.jpg,143,548,186,607,640,640
Sunglasses,1168394_170640256467947_868253900_n.jpg,278,45,316,63,640,640
Coat,1168394_170640256467947_868253900_n.jpg,208,73,405,435,640,640
Headwear,1168394_170640256467947_868253900_n.jpg,292,1,370,59,640,640
Trousers,1168394_170640256467947_868253900_n.jpg,218,404,367,590,640,640
Footwear,1168394_170640256467947_868253900_n.jpg,276,605,341,638,640,640
Footwear,1168394_170640256467947_868253900_n.jpg,253,584,347,623,640,640
Sunglasses,1168413_858507377499930_1496307896_n.jpg,242,119,331,155,640,640
Top,1168413_858507377499930_1496307896_n.jpg,153,243,353,430,640,640
Jeans,1168413_858507377499930_1496307896_n.jpg,207,443,348,628,640,640
Sunglasses,1168483_933035356814640_1673551487_n.jpg,316,106,359,119,640,640
Blazer,1168483_933035356814640_1673551487_n.jpg,255,112,425,284,640,640
Handbag,1168483_933035356814640_1673551487_n.jpg,246,250,334,318,640,640
Jumpsuit,1168483_933035356814640_1673551487_n.jpg,284,153,388,503,640,640
Footwear,1168483_933035356814640_1673551487_n.jpg,308,497,339,577,640,640
Footwear,1168483_933035356814640_1673551487_n.jpg,339,501,378,574,640,640
Tank,1168564_168041433405150_215461612_n.jpg,340,285,443,400,612,612
Skirt,1168564_168041433405150_215461612_n.jpg,112,454,237,531,612,612
Skirt,1168564_168041433405150_215461612_n.jpg,329,390,468,611,612,612
Dress,1168564_168041433405150_215461612_n.jpg,241,290,316,563,612,612
Blouse,1168564_168041433405150_215461612_n.jpg,107,269,247,467,612,612
Skirt,1168648_427828374009981_1372855561_n.jpg,317,447,460,593,640,640
Sweater,1168648_427828374009981_1372855561_n.jpg,308,204,467,451,640,640
Cardigan,1168648_427828374009981_1372855561_n.jpg,279,29,549,595,640,640
Sunglasses,1168927_1427416760807521_1119597908_n.jpg,315,70,401,100,640,640
Dress,1168927_1427416760807521_1119597908_n.jpg,210,126,436,500,640,640
Footwear,1168927_1427416760807521_1119597908_n.jpg,335,581,406,611,640,640
Footwear,1168927_1427416760807521_1119597908_n.jpg,292,580,366,626,640,640
Hoodie,1169106_205276556323036_249769629_n.jpg,122,114,537,626,640,640
Luggage and bags,1169767_245347458962136_306791238_n.jpg,291,454,438,588,640,640
Leggings,1169767_245347458962136_306791238_n.jpg,234,417,298,562,640,640
Tee,1169767_245347458962136_306791238_n.jpg,204,282,307,417,640,640
Headwear,1169930_225325094301068_1566086468_n.jpg,348,21,425,67,640,640
Tee,1169930_225325094301068_1566086468_n.jpg,274,113,465,367,640,640
Trousers,1169930_225325094301068_1566086468_n.jpg,275,356,414,547,640,640
Footwear,1169930_225325094301068_1566086468_n.jpg,270,553,311,620,640,640
Footwear,1169930_225325094301068_1566086468_n.jpg,313,552,368,610,640,640
Skirt,1169995_320132154793408_658197585_n.jpg,350,319,499,480,640,640
Dress,1169995_320132154793408_658197585_n.jpg,102,120,273,523,640,640
Dress,1169995_320132154793408_658197585_n.jpg,245,187,360,550,640,640
Blouse,1169995_320132154793408_658197585_n.jpg,339,114,470,319,640,640
Footwear,1169995_320132154793408_658197585_n.jpg,387,548,438,613,640,640
Footwear,1169995_320132154793408_658197585_n.jpg,208,557,251,627,640,640
Footwear,1169995_320132154793408_658197585_n.jpg,151,565,201,627,640,640
Sunglasses,1170031_672267002819690_1566096534_n.jpg,164,69,221,97,640,640
Sunglasses,1170031_672267002819690_1566096534_n.jpg,474,55,509,73,640,640
Handbag,1170031_672267002819690_1566096534_n.jpg,24,236,196,544,640,640
Handbag,1170031_672267002819690_1566096534_n.jpg,558,215,637,382,640,640
Shirt,1170031_672267002819690_1566096534_n.jpg,375,92,580,367,640,640
Shirt,1170031_672267002819690_1566096534_n.jpg,135,127,272,509,640,640
Shorts,1170031_672267002819690_1566096534_n.jpg,422,353,564,460,640,640
Footwear,1170031_672267002819690_1566096534_n.jpg,535,534,582,640,640,640
Footwear,1170031_672267002819690_1566096534_n.jpg,467,588,555,635,640,640
Sweater,1170194_286273104868865_1896834482_n.jpg,304,124,582,321,640,640
Sweater,1170194_286273104868865_1896834482_n.jpg,364,462,591,639,640,640
Hoodie,1170194_286273104868865_1896834482_n.jpg,51,451,279,626,640,640
Tee,1170262_529324310492057_1855486857_n.jpg,68,208,532,618,640,640
Tee,1170262_529324310492057_1855486857_n.jpg,4,215,153,635,640,640
Luggage and bags,1170528_598256763543079_2094490976_n.jpg,23,220,134,348,640,640
Sunglasses,1170528_598256763543079_2094490976_n.jpg,227,0,285,25,640,640
Blouse,1170528_598256763543079_2094490976_n.jpg,157,44,435,392,640,640
Trousers,1170528_598256763543079_2094490976_n.jpg,218,401,343,552,640,640
Footwear,1170528_598256763543079_2094490976_n.jpg,251,564,293,639,640,640
Footwear,1170528_598256763543079_2094490976_n.jpg,281,559,326,640,640,640
Blazer,1171995_1390542414524773_9817120_n.jpg,200,111,529,401,612,612
Shirt,1171995_1390542414524773_9817120_n.jpg,294,161,421,391,612,612
Jeans,1171995_1390542414524773_9817120_n.jpg,164,366,599,611,612,612
Blouse,1172108_1526526320973325_1210190911_n.jpg,459,64,586,514,1080,719
Trousers,1172108_1526526320973325_1210190911_n.jpg,423,503,729,719,1080,719
Jacket,1172108_1526526320973325_1210190911_n.jpg,344,44,774,628,1080,719
Sweatpants,1172942_981966708516087_1146294245_n.jpg,146,462,392,689,689,689
Jacket,1172942_981966708516087_1146294245_n.jpg,89,4,407,580,689,689
Tank,1172537_1428541387360504_2100746735_n.jpg,340,294,423,396,640,640
Blazer,1172537_1428541387360504_2100746735_n.jpg,425,221,485,357,640,640
Top,1172537_1428541387360504_2100746735_n.jpg,191,230,219,291,640,640
Skirt,1172537_1428541387360504_2100746735_n.jpg,188,303,230,503,640,640
Shirt,1172537_1428541387360504_2100746735_n.jpg,3,207,77,363,640,640
Jumpsuit,1172537_1428541387360504_2100746735_n.jpg,223,211,263,467,640,640
Dress,1172537_1428541387360504_2100746735_n.jpg,81,216,177,427,640,640
Dress,1172537_1428541387360504_2100746735_n.jpg,256,208,335,425,640,640
Dress,1172537_1428541387360504_2100746735_n.jpg,583,224,640,467,640,640
Dress,1172537_1428541387360504_2100746735_n.jpg,539,239,584,401,640,640
Dress,1172537_1428541387360504_2100746735_n.jpg,485,228,544,501,640,640
Trousers,1172537_1428541387360504_2100746735_n.jpg,324,381,425,522,640,640
Trousers,1172537_1428541387360504_2100746735_n.jpg,13,296,84,548,640,640
High heels,1172537_1428541387360504_2100746735_n.jpg,91,509,119,552,640,640
High heels,1172537_1428541387360504_2100746735_n.jpg,121,509,159,558,640,640
High heels,1172537_1428541387360504_2100746735_n.jpg,536,494,596,547,640,640
High heels,1172537_1428541387360504_2100746735_n.jpg,585,515,635,566,640,640
High heels,1172537_1428541387360504_2100746735_n.jpg,430,484,467,523,640,640
High heels,1172537_1428541387360504_2100746735_n.jpg,470,482,527,541,640,640
High heels,1172537_1428541387360504_2100746735_n.jpg,242,469,273,524,640,640
High heels,1172537_1428541387360504_2100746735_n.jpg,271,477,320,525,640,640
High heels,1172537_1428541387360504_2100746735_n.jpg,152,492,194,534,640,640
High heels,1172537_1428541387360504_2100746735_n.jpg,31,542,66,565,640,640
High heels,1172537_1428541387360504_2100746735_n.jpg,59,537,84,558,640,640
Footwear,1172537_1428541387360504_2100746735_n.jpg,365,514,422,564,640,640
Footwear,1172537_1428541387360504_2100746735_n.jpg,346,506,385,540,640,640
Luggage and bags,1173006_595754100481791_1931846329_n.jpg,144,578,300,639,640,640
Jeans,1173006_595754100481791_1931846329_n.jpg,436,298,462,373,640,640
Dress,1173006_595754100481791_1931846329_n.jpg,236,209,396,610,640,640
Jacket,1173006_595754100481791_1931846329_n.jpg,188,216,435,531,640,640
Jacket,1173006_595754100481791_1931846329_n.jpg,423,224,466,298,640,640
Sunglasses,1173083_1074674125906951_1820641056_n.jpg,422,84,495,123,902,902
Blazer,1173083_1074674125906951_1820641056_n.jpg,358,150,575,488,902,902
Trousers,1173083_1074674125906951_1820641056_n.jpg,333,482,532,814,902,902
Footwear,1173083_1074674125906951_1820641056_n.jpg,270,798,395,852,902,902
Footwear,1173083_1074674125906951_1820641056_n.jpg,437,793,521,859,902,902
Jumpsuit,1208451_831258440318839_1806728619_n.jpg,340,167,635,1029,1000,1201
High heels,1208451_831258440318839_1806728619_n.jpg,416,1078,490,1187,1000,1201
High heels,1208451_831258440318839_1806728619_n.jpg,490,1083,566,1189,1000,1201
Blouse,1388821_768973526461387_1214093387_n.jpg,120,1,511,363,640,640
Trousers,1388821_768973526461387_1214093387_n.jpg,199,366,464,639,640,640
Dress,1209442_367431353401914_1504935657_n.jpg,231,115,395,574,640,640
High heels,1209442_367431353401914_1504935657_n.jpg,286,564,327,622,640,640
High heels,1209442_367431353401914_1504935657_n.jpg,336,531,392,623,640,640
Shirt,1209702_224564157722901_546749935_n.jpg,139,193,511,482,640,640
Headwear,1388898_738327799535936_207031595_n.jpg,40,122,166,212,640,640
Jeans,1388898_738327799535936_207031595_n.jpg,88,467,216,517,640,640
Tee,1388898_738327799535936_207031595_n.jpg,77,306,198,495,640,640
Tee,1388898_738327799535936_207031595_n.jpg,439,216,500,314,640,640
Trousers,1388898_738327799535936_207031595_n.jpg,435,404,576,516,640,640
Jacket,1388898_738327799535936_207031595_n.jpg,380,208,564,433,640,640
Jacket,1388898_738327799535936_207031595_n.jpg,32,258,230,452,640,640
Skirt,1388994_587938604604452_197714934_n.jpg,84,584,248,640,640,640
Sweater,1388994_587938604604452_197714934_n.jpg,361,31,590,295,640,640
Sweater,1388994_587938604604452_197714934_n.jpg,74,12,249,318,640,640
Sweater,1388994_587938604604452_197714934_n.jpg,70,343,249,604,640,640
Sweater,1388994_587938604604452_197714934_n.jpg,374,356,565,640,640,640
Trousers,1388994_587938604604452_197714934_n.jpg,404,293,547,320,640,640
Sweater,1389759_694969043854385_1495062348_n.jpg,222,205,430,485,612,612
Jeans,1389759_694969043854385_1495062348_n.jpg,219,484,300,609,612,612
Trousers,1389598_166427133719701_541867457_n.jpg,163,341,231,456,640,640
Footwear,1389598_166427133719701_541867457_n.jpg,172,457,201,484,640,640
Footwear,1389598_166427133719701_541867457_n.jpg,203,443,236,472,640,640
Jacket,1389598_166427133719701_541867457_n.jpg,140,258,254,343,640,640
Luggage and bags,1389933_557775247637725_1751294375_n.jpg,511,389,571,478,640,640
Dress,1389933_557775247637725_1751294375_n.jpg,63,112,216,458,640,640
Dress,1389933_557775247637725_1751294375_n.jpg,316,91,509,409,640,640
High heels,1389933_557775247637725_1751294375_n.jpg,489,532,573,636,640,640
High heels,1389933_557775247637725_1751294375_n.jpg,181,576,214,639,640,640
High heels,1389933_557775247637725_1751294375_n.jpg,296,583,333,639,640,640
High heels,1389933_557775247637725_1751294375_n.jpg,459,587,522,615,640,640
Blazer,1389935_1411382662480587_2056209595_n.jpg,221,119,382,366,640,640
Headwear,1389935_1411382662480587_2056209595_n.jpg,243,14,345,88,640,640
Tee,1389935_1411382662480587_2056209595_n.jpg,265,115,358,315,640,640
Shorts,1389935_1411382662480587_2056209595_n.jpg,300,315,370,359,640,640
Footwear,1389935_1411382662480587_2056209595_n.jpg,273,387,327,573,640,640
Footwear,1389935_1411382662480587_2056209595_n.jpg,331,392,375,571,640,640
Blazer,1389976_1449425411951140_853209198_n.jpg,280,186,386,372,640,640
Jeans,1389976_1449425411951140_853209198_n.jpg,280,367,396,555,640,640
Blouse,1389976_1449425411951140_853209198_n.jpg,330,188,380,384,640,640
High heels,1389976_1449425411951140_853209198_n.jpg,267,545,326,606,640,640
High heels,1389976_1449425411951140_853209198_n.jpg,365,559,430,619,640,640
Hoodie,1390109_1511618179081216_1139414357_n.jpg,104,13,520,632,640,640
Shirt,1391389_449028575277986_31833935_n.jpg,20,17,640,640,640,640
Luggage and bags,1390227_1756348017919746_933847006_n.jpg,593,494,671,590,1080,1080
Coat,1390227_1756348017919746_933847006_n.jpg,508,241,788,917,1080,1080
Sweater,1390227_1756348017919746_933847006_n.jpg,553,239,712,585,1080,1080
Jeans,1390227_1756348017919746_933847006_n.jpg,602,603,776,947,1080,1080
Blouse,1390227_1756348017919746_933847006_n.jpg,605,573,690,609,1080,1080
Footwear,1390227_1756348017919746_933847006_n.jpg,623,917,691,1014,1080,1080
Footwear,1390227_1756348017919746_933847006_n.jpg,712,961,778,1064,1080,1080
Skirt,1515063_483559808430765_964012579_n.jpg,76,244,229,390,640,640
Skirt,1515063_483559808430765_964012579_n.jpg,402,239,526,371,640,640
Scarf,1515063_483559808430765_964012579_n.jpg,121,82,233,182,640,640
Scarf,1515063_483559808430765_964012579_n.jpg,421,91,518,191,640,640
Sweater,1515063_483559808430765_964012579_n.jpg,58,91,238,302,640,640
Sweater,1515063_483559808430765_964012579_n.jpg,371,88,556,332,640,640
Footwear,1515063_483559808430765_964012579_n.jpg,114,538,217,638,640,640
Footwear,1515063_483559808430765_964012579_n.jpg,440,552,493,634,640,640
Footwear,1515063_483559808430765_964012579_n.jpg,479,520,515,611,640,640
Jacket,1515063_483559808430765_964012579_n.jpg,523,212,621,417,640,640
